Parent Code,Parent Subject,Code,Subject
26,משרות פנויות על פי סקר משרות פנויות (סיווג ענפי כלכלה ומשלחי יד 1993 ),26,"מספר משרות פנויות לפי סיווג של משלח יד (למ""ס 1994) וענף כלכלי (אומדן מנופח)"
26,משרות פנויות על פי סקר משרות פנויות (סיווג ענפי כלכלה ומשלחי יד 1993 ),26,מספר משרות פנויות לפי ענף כלכלי וקבוצות נבחרות של משלחי יד (אומדן מנופח)
35,משרות פנויות על פי סקר משרות פנויות (סיווג ענפי כלכלה ומשלחי יד 2011 ),35,מספר ושיעור משרות פנויות (אומדן מנופח)
35,משרות פנויות על פי סקר משרות פנויות (סיווג ענפי כלכלה ומשלחי יד 2011 ),35,מספר משרות פנויות לפי סיווג של משלח יד וענף כלכלי (אומדן מנופח)
35,משרות פנויות על פי סקר משרות פנויות (סיווג ענפי כלכלה ומשלחי יד 2011 ),35,מספר משרות פנויות עבור קבוצות נבחרות של משלחי יד (אומדן מנופח)
11,נתוני תעסוקה על פי סקר כוח אדם,11,מ2001 עד 2009 מבוססים על אומדני אוכלוסייה של מפקד 1995 ושיטת ניפוח 2001 (לפי הגדרות כוח העבודה מעודכנות)
11,נתוני תעסוקה על פי סקר כוח אדם,11,מ1998 עד 2001 מבוססים על אומדני אוכלוסייה של מפקד 1995 ושיטת ניפוח 1998 (לפי הגדרות כוח העבודה מעודכנות)
11,נתוני תעסוקה על פי סקר כוח אדם,11,מ1988 עד 1995 מבוססים על אומדני אוכלוסייה של מפקד 1983 (לפי הגדרות כוח העבודה מעודכנות)
11,נתוני תעסוקה על פי סקר כוח אדם,11,מ2009 מבוססים על אומדני אוכלוסייה של מפקד 2008 ושיטת ניפוח 2001 (לפי הגדרות כוח העבודה מעודכנות)
11,נתוני תעסוקה על פי סקר כוח אדם,11,"נתונים החל מינואר 2012 ועד דצמבר 2025 לפי הגדרה ישנה סכ""א חודשי (מבוסס על אומדני מפקד 2008)"
11,נתוני תעסוקה על פי סקר כוח אדם,11,"החל מינואר 2025 לפי הגדרה חדשה סכ""א חודשי  (מבוסס על אומדני מפקד 2022)"
8,סחר חוץ,8,"מאזן סחר חוץ, נטו"
8,סחר חוץ,8,יבוא סחורות
8,סחר חוץ,8,יצוא סחורות(סיווג ענפי כלכלה 1993)
8,סחר חוץ,8,יבוא ויצוא לפי ארצות סחר
8,סחר חוץ,8,יבוא ויצוא לפי קבוצות סחורות וארצות
8,סחר חוץ,8,יצוא סחורות(סיווג ענפי כלכלה 2011)
